benchmark_id,benchmark_family,granularity,semantic_label_mode,rollback_split_condition,method_id,compiler,compiler_id,opt_level,profile_condition,status,error_message,throughput_bytes_per_sec,compiled_instruction_count,binary_size_bytes
BM1,Small C-like lexer,coarse,coarse,off,B1,gcc,gcc_Os,-Os,same_A,completed,,139388170.28732076,4,29488
BM1,Small C-like lexer,coarse,coarse,off,B1,clang,clang_O2,-O2,same_A,completed,,5745085106382.9795,4,29456
BM1,Small C-like lexer,coarse,coarse,off,B1,clang,clang_O3,-O3,same_A,completed,,4909436363636.363,4,29456
BM1,Small C-like lexer,coarse,coarse,off,B1,clang,clang_Os,-Os,same_A,completed,,222436496.7893139,4,25352
BM1,Small C-like lexer,coarse,coarse,off,B2,gcc,gcc_O2,-O2,same_A,completed,,157268130.28340054,5,29528
BM1,Small C-like lexer,coarse,coarse,off,B2,gcc,gcc_O3,-O3,same_A,completed,,171522530.1223187,5,29456
BM1,Small C-like lexer,coarse,coarse,off,B2,gcc,gcc_Os,-Os,same_A,completed,,139438412.57955822,4,29488
BM1,Small C-like lexer,coarse,coarse,off,B2,clang,clang_O2,-O2,same_A,completed,,5510591836734.693,4,29456
BM1,Small C-like lexer,coarse,coarse,off,B2,clang,clang_O3,-O3,same_A,completed,,5094698113207.547,4,29456
BM1,Small C-like lexer,coarse,coarse,off,B2,clang,clang_Os,-Os,same_A,completed,,180428132.51313356,4,25352
BM1,Small C-like lexer,coarse,coarse,off,B3,gcc,gcc_O2,-O2,same_A,completed,,156176580.48254013,26,29488
BM1,Small C-like lexer,coarse,coarse,off,B3,gcc,gcc_O3,-O3,same_A,completed,,168704199.25188076,26,29416
BM1,Small C-like lexer,coarse,coarse,off,B3,gcc,gcc_Os,-Os,same_A,completed,,144995795.4178109,20,29448
BM1,Small C-like lexer,coarse,coarse,off,B3,clang,clang_O2,-O2,same_A,completed,,5745085106382.9795,17,29456
BM1,Small C-like lexer,coarse,coarse,off,B3,clang,clang_O3,-O3,same_A,completed,,5625395833333.333,17,29456
