benchmark_id,granularity,method_id,compiler_id,profile_condition,semantic_mode_off,semantic_mode_on,delta_num_semantic_classes,delta_num_intervals_total,delta_comparison_sites,delta_worst_case_depth,delta_expected_depth,delta_accept_predicate_expected_depth,delta_rollbackacc_predicate_expected_depth,delta_throughput_bytes_per_sec
BM1,coarse,B5_DAG,gcc_O2,B_to_A,coarse,coarse,1,1,1,1,0.08329424182010081,0.0,0.0,17005186.60948664
BM1,coarse,B5_DAG,gcc_O3,B_to_A,coarse,coarse,1,1,1,1,0.08329424182010081,0.0,0.0,-3033743.605910331
BM1,coarse,B5_DAG,gcc_Os,B_to_A,coarse,coarse,1,1,1,1,0.08329424182010081,0.0,0.0,16200233.33982277
BM1,coarse,B5_DAG,clang_O2,B_to_A,coarse,coarse,1,1,1,1,0.08329424182010081,0.0,0.0,359386424134.8721
BM1,coarse,B5_DAG,clang_O3,B_to_A,coarse,coarse,1,1,1,1,0.08329424182010081,0.0,0.0,-124893154486.58594
BM1,coarse,B5_DAG,clang_Os,B_to_A,coarse,coarse,1,1,1,1,0.08329424182010081,0.0,0.0,7564794.072771043
BM1,coarse,B1,gcc_O2,uniform,coarse,coarse,1,0,0,0,0.0,0.0,0.0,8428644.891830415
BM1,coarse,B1,gcc_O3,uniform,coarse,coarse,1,0,0,0,0.0,0.0,0.0,4295045.296166748
BM1,coarse,B1,gcc_Os,uniform,coarse,coarse,1,0,0,0,0.0,0.0,0.0,4091440.124090761
BM1,coarse,B1,clang_O2,uniform,coarse,coarse,1,0,0,0,0.0,0.0,0.0,768919791172.2832
BM1,coarse,B1,clang_O3,uniform,coarse,coarse,1,0,0,0,0.0,0.0,0.0,1624011627906.9766
BM1,coarse,B1,clang_Os,uniform,coarse,coarse,1,0,0,0,0.0,0.0,0.0,-41177344.11787614
BM1,coarse,B2,gcc_O2,uniform,coarse,coarse,0,0,0,0,0.0,0.0,0.0,6043744.3467513025
BM1,coarse,B2,gcc_O3,uniform,coarse,coarse,0,0,0,0,0.0,0.0,0.0,5756391.135303348
BM1,coarse,B2,gcc_Os,uniform,coarse,coarse,0,0,0,0,0.0,0.0,0.0,2287252.234431565
BM1,coarse,B2,clang_O2,uniform,coarse,coarse,0,0,0,0,0.0,0.0,0.0,557314757481.9404
BM1,coarse,B2,clang_O3,uniform,coarse,coarse,0,0,0,0,0.0,0.0,0.0,-391710348162.4756
BM1,coarse,B2,clang_Os,uniform,coarse,coarse,0,0,0,0,0.0,0.0,0.0,746164.2752015591
BM1,coarse,B3,gcc_O2,uniform,coarse,coarse,1,1,1,1,0.5069771275142165,0.0,1.0299255223628108,-13657057.087938666
BM1,coarse,B3,gcc_O3,uniform,coarse,coarse,1,1,1,1,0.5069771275142165,0.0,1.0299255223628108,520065.5335570276
BM1,coarse,B3,gcc_Os,uniform,coarse,coarse,1,1,1,1,0.5069771275142165,0.0,1.0299255223628108,-2748574.388122678
BM1,coarse,B3,clang_O2,uniform,coarse,coarse,1,1,1,1,0.5069771275142165,0.0,1.0299255223628108,0.0
BM1,coarse,B3,clang_O3,uniform,coarse,coarse,1,1,1,1,0.5069771275142165,0.0,1.0299255223628108,469598260869.5654
BM1,coarse,B3,clang_Os,uniform,coarse,coarse,1,1,1,1,0.5069771275142165,0.0,1.0299255223628108,-16728356.932100505
BM1,coarse,B4,gcc_O2,uniform,coarse,coarse,1,1,1,1,0.022096044487049937,0.0,-0.12506343829026756,1496090.8429406583
BM1,coarse,B4,gcc_O3,uniform,coarse,coarse,1,1,1,1,0.022096044487049937,0.0,-0.12506343829026756,4219726.517524868
BM1,coarse,B4,gcc_Os,uniform,coarse,coarse,1,1,1,1,0.022096044487049937,0.0,-0.12506343829026756,-11633955.106236786
BM1,coarse,B4,clang_O2,uniform,coarse,coarse,1,1,1,1,0.022096044487049937,0.0,-0.12506343829026756,-869626409017.7139
BM1,coarse,B4,clang_O3,uniform,coarse,coarse,1,1,1,1,0.022096044487049937,0.0,-0.12506343829026756,0.0
BM1,coarse,B4,clang_Os,uniform,coarse,coarse,1,1,1,1,0.022096044487049937,0.0,-0.12506343829026756,-2594972.1852376163
BM1,coarse,B5_TREE,gcc_O2,uniform,coarse,coarse,1,1,1,1,0.06067086263061805,0.0,0.0,10951287.900953144
BM1,coarse,B5_TREE,gcc_O3,uniform,coarse,coarse,1,1,1,1,0.06067086263061805,0.0,0.0,31314337.491414964
