benchmark_id,granularity,semantic_label_mode,rollback_split_condition,method_id,compiler,compiler_id,opt_level,profile_source,profile_condition,profile_scenario,eval_source,status,error_message,throughput_bytes_per_sec,avg_semantic_comparisons_per_visited_state
BM1,coarse,coarse,on,B4,gcc,gcc_O2,-O2,A,same_A,same_A,A,completed,,179509083.85010585,2.2796827299848865
BM1,coarse,coarse,on,B4,gcc,gcc_O3,-O3,A,same_A,same_A,A,completed,,222175504.6526037,2.2796827299848865
BM1,coarse,coarse,on,B4,gcc,gcc_Os,-Os,A,same_A,same_A,A,completed,,178085426.184498,2.2796827299848865
BM1,coarse,coarse,on,B4,clang,clang_O2,-O2,A,same_A,same_A,A,completed,,6279511627906.977,2.2796827299848865
BM1,coarse,coarse,on,B4,clang,clang_O3,-O3,A,same_A,same_A,A,completed,,5192673076923.077,2.2796827299848865
BM1,coarse,coarse,on,B4,clang,clang_Os,-Os,A,same_A,same_A,A,completed,,179462554.11744532,2.2796827299848865
BM1,coarse,coarse,on,B3,gcc,gcc_O2,-O2,B,same_B,same_B,B,completed,,173532712.01014888,4.023198399523262
BM1,coarse,coarse,on,B3,gcc,gcc_O3,-O3,B,same_B,same_B,B,completed,,196413015.584275,4.023198399523262
BM1,coarse,coarse,on,B3,gcc,gcc_Os,-Os,B,same_B,same_B,B,completed,,167218068.13300812,4.023198399523262
BM1,coarse,coarse,on,B3,clang,clang_O2,-O2,B,same_B,same_B,B,completed,,5000422222222.223,4.023198399523262
BM1,coarse,coarse,on,B3,clang,clang_O3,-O3,B,same_B,same_B,B,completed,,4687895833333.333,4.023198399523262
BM1,coarse,coarse,on,B3,clang,clang_Os,-Os,B,same_B,same_B,B,completed,,176780123.73563784,4.023198399523262
BM1,coarse,coarse,on,B4,gcc,gcc_O2,-O2,B,same_B,same_B,B,completed,,204223345.20451468,2.2185118971608566
BM1,coarse,coarse,on,B4,gcc,gcc_O3,-O3,B,same_B,same_B,B,completed,,246573195.9214758,2.2185118971608566
BM1,coarse,coarse,on,B4,gcc,gcc_Os,-Os,B,same_B,same_B,B,completed,,193523612.61736217,2.2185118971608566
BM1,coarse,coarse,on,B4,clang,clang_O2,-O2,B,same_B,same_B,B,completed,,5000422222222.223,2.2185118971608566
BM1,coarse,coarse,on,B4,clang,clang_O3,-O3,B,same_B,same_B,B,completed,,4687895833333.333,2.2185118971608566
BM1,coarse,coarse,on,B4,clang,clang_Os,-Os,B,same_B,same_B,B,completed,,189149295.1211168,2.2185118971608566
BM1,coarse,coarse,on,B3,gcc,gcc_O2,-O2,A,A_to_B,A_to_B,B,completed,,160908994.69688734,4.023198399523262
BM1,coarse,coarse,on,B3,gcc,gcc_O3,-O3,A,A_to_B,A_to_B,B,completed,,187812106.9320186,4.023198399523262
BM1,coarse,coarse,on,B3,gcc,gcc_Os,-Os,A,A_to_B,A_to_B,B,completed,,157490747.32498306,4.023198399523262
BM1,coarse,coarse,on,B3,clang,clang_O2,-O2,A,A_to_B,A_to_B,B,completed,,4787638297872.341,4.023198399523262
BM1,coarse,coarse,on,B3,clang,clang_O3,-O3,A,A_to_B,A_to_B,B,completed,,4592224489795.918,4.023198399523262
BM1,coarse,coarse,on,B3,clang,clang_Os,-Os,A,A_to_B,A_to_B,B,completed,,165474492.9738109,4.023198399523262
BM1,coarse,coarse,on,B4,gcc,gcc_O2,-O2,A,A_to_B,A_to_B,B,completed,,182098553.12661093,2.3718280825291425
BM1,coarse,coarse,on,B4,gcc,gcc_O3,-O3,A,A_to_B,A_to_B,B,completed,,231407703.8889666,2.3718280825291425
BM1,coarse,coarse,on,B4,gcc,gcc_Os,-Os,A,A_to_B,A_to_B,B,completed,,179810360.0378449,2.3718280825291425
BM1,coarse,coarse,on,B4,clang,clang_O2,-O2,A,A_to_B,A_to_B,B,completed,,4592224489795.918,2.3718280825291425
BM1,coarse,coarse,on,B4,clang,clang_O3,-O3,A,A_to_B,A_to_B,B,completed,,4500380000000.0,2.3718280825291425
BM1,coarse,coarse,on,B4,clang,clang_Os,-Os,A,A_to_B,A_to_B,B,completed,,181164799.3507602,2.3718280825291425
BM1,coarse,coarse,on,B3,gcc,gcc_O2,-O2,B,B_to_A,B_to_A,A,completed,,155991260.4824528,4.607601704388964
BM1,coarse,coarse,on,B3,gcc,gcc_O3,-O3,B,B_to_A,B_to_A,A,completed,,171904723.10007715,4.607601704388964
BM1,coarse,coarse,on,B3,gcc,gcc_Os,-Os,B,B_to_A,B_to_A,A,completed,,151112247.79321688,4.607601704388964
BM1,coarse,coarse,on,B3,clang,clang_O2,-O2,B,B_to_A,B_to_A,A,completed,,6000422222222.223,4.607601704388964
BM1,coarse,coarse,on,B3,clang,clang_O3,-O3,B,B_to_A,B_to_A,A,completed,,5745085106382.9795,4.607601704388964
BM1,coarse,coarse,on,B3,clang,clang_Os,-Os,B,B_to_A,B_to_A,A,completed,,158729944.11923423,4.607601704388964
BM1,coarse,coarse,on,B4,gcc,gcc_O2,-O2,B,B_to_A,B_to_A,A,completed,,189044586.8791285,2.780892049965167
BM1,coarse,coarse,on,B4,gcc,gcc_O3,-O3,B,B_to_A,B_to_A,A,completed,,227303644.51538065,2.780892049965167
BM1,coarse,coarse,on,B4,gcc,gcc_Os,-Os,B,B_to_A,B_to_A,A,completed,,182124091.9729396,2.780892049965167
BM1,coarse,coarse,on,B4,clang,clang_O2,-O2,B,B_to_A,B_to_A,A,completed,,6279511627906.977,2.780892049965167
BM1,coarse,coarse,on,B4,clang,clang_O3,-O3,B,B_to_A,B_to_A,A,completed,,5510591836734.693,2.780892049965167
BM1,coarse,coarse,on,B4,clang,clang_Os,-Os,B,B_to_A,B_to_A,A,completed,,178404763.99701622,2.780892049965167
BM1,coarse,coarse,on,B3,gcc,gcc_O2,-O2,uniform,uniform,uniform,A,completed,,152730775.5179613,4.607601704388964
BM1,coarse,coarse,on,B3,gcc,gcc_O3,-O3,uniform,uniform,uniform,A,completed,,174754648.79376,4.607601704388964
BM1,coarse,coarse,on,B3,gcc,gcc_Os,-Os,uniform,uniform,uniform,A,completed,,150975878.54789317,4.607601704388964
BM1,coarse,coarse,on,B3,clang,clang_O2,-O2,uniform,uniform,uniform,A,completed,,5869978260869.565,4.607601704388964
BM1,coarse,coarse,on,B3,clang,clang_O3,-O3,uniform,uniform,uniform,A,completed,,5869978260869.565,4.607601704388964
BM1,coarse,coarse,on,B3,clang,clang_Os,-Os,uniform,uniform,uniform,A,completed,,159603902.80924478,4.607601704388964
BM1,coarse,coarse,on,B4,gcc,gcc_O2,-O2,uniform,uniform,uniform,A,completed,,191307052.42790532,2.3635644041003467
BM1,coarse,coarse,on,B4,gcc,gcc_O3,-O3,uniform,uniform,uniform,A,completed,,230648854.99443492,2.3635644041003467
BM1,coarse,coarse,on,B4,gcc,gcc_Os,-Os,uniform,uniform,uniform,A,completed,,179126943.63935128,2.3635644041003467
BM1,coarse,coarse,on,B4,clang,clang_O2,-O2,uniform,uniform,uniform,A,completed,,5000351851851.852,2.3635644041003467
BM1,coarse,coarse,on,B4,clang,clang_O3,-O3,uniform,uniform,uniform,A,completed,,5745085106382.9795,2.3635644041003467
BM1,coarse,coarse,on,B4,clang,clang_Os,-Os,uniform,uniform,uniform,A,completed,,181445481.14947703,2.3635644041003467
BM1,operational,operational_rb_off,off,B3,gcc,gcc_O2,-O2,A,same_A,same_A,A,completed,,165470663.5029268,1.3750442645830103
BM1,operational,operational_rb_off,off,B3,gcc,gcc_O3,-O3,A,same_A,same_A,A,completed,,176870850.78718364,1.3750442645830103
BM1,operational,operational_rb_off,off,B3,gcc,gcc_Os,-Os,A,same_A,same_A,A,completed,,161527560.34574038,1.3750442645830103
BM1,operational,operational_rb_off,off,B3,clang,clang_O2,-O2,A,same_A,same_A,A,completed,,5294490196078.432,1.3750442645830103
BM1,operational,operational_rb_off,off,B3,clang,clang_O3,-O3,A,same_A,same_A,A,completed,,5192673076923.077,1.3750442645830103
BM1,operational,operational_rb_off,off,B3,clang,clang_Os,-Os,A,same_A,same_A,A,completed,,177564992.43429077,1.3750442645830103
BM1,operational,operational_rb_off,off,B4,gcc,gcc_O2,-O2,A,same_A,same_A,A,completed,,159569664.98637843,1.3750442645830103
BM1,operational,operational_rb_off,off,B4,gcc,gcc_O3,-O3,A,same_A,same_A,A,completed,,176946073.2531409,1.3750442645830103
BM1,operational,operational_rb_off,off,B4,gcc,gcc_Os,-Os,A,same_A,same_A,A,completed,,159526205.06182387,1.3750442645830103
BM1,operational,operational_rb_off,off,B4,clang,clang_O2,-O2,A,same_A,same_A,A,completed,,5094698113207.547,1.3750442645830103
BM1,operational,operational_rb_off,off,B4,clang,clang_O3,-O3,A,same_A,same_A,A,completed,,5745085106382.9795,1.3750442645830103
BM1,operational,operational_rb_off,off,B4,clang,clang_Os,-Os,A,same_A,same_A,A,completed,,176991771.11723766,1.3750442645830103
BM1,operational,operational_rb_off,off,B3,gcc,gcc_O2,-O2,B,same_B,same_B,B,completed,,185012308.44620875,1.3158478817398496
BM1,operational,operational_rb_off,off,B3,gcc,gcc_O3,-O3,B,same_B,same_B,B,completed,,199488642.96232465,1.3158478817398496
BM1,operational,operational_rb_off,off,B3,gcc,gcc_Os,-Os,B,same_B,same_B,B,completed,,175101978.56310222,1.3158478817398496
BM1,operational,operational_rb_off,off,B3,clang,clang_O2,-O2,B,same_B,same_B,B,completed,,3813881355932.2036,1.3158478817398496
BM1,operational,operational_rb_off,off,B3,clang,clang_O3,-O3,B,same_B,same_B,B,completed,,4500380000000.0,1.3158478817398496
BM1,operational,operational_rb_off,off,B3,clang,clang_Os,-Os,B,same_B,same_B,B,completed,,191680083.13953987,1.3158478817398496
BM1,operational,operational_rb_off,off,B4,gcc,gcc_O2,-O2,B,same_B,same_B,B,completed,,185260746.89179298,1.3158478817398496
BM1,operational,operational_rb_off,off,B4,gcc,gcc_O3,-O3,B,same_B,same_B,B,completed,,199370043.85770613,1.3158478817398496
BM1,operational,operational_rb_off,off,B4,gcc,gcc_Os,-Os,B,same_B,same_B,B,completed,,167989064.46203992,1.3158478817398496
BM1,operational,operational_rb_off,off,B4,clang,clang_O2,-O2,B,same_B,same_B,B,completed,,5114068181818.183,1.3158478817398496
BM1,operational,operational_rb_off,off,B4,clang,clang_O3,-O3,B,same_B,same_B,B,completed,,4687895833333.333,1.3158478817398496
BM1,operational,operational_rb_off,off,B4,clang,clang_Os,-Os,B,same_B,same_B,B,completed,,189527031.01074234,1.3158478817398496
BM1,operational,operational_rb_off,off,B3,gcc,gcc_O2,-O2,A,A_to_B,A_to_B,B,completed,,183416475.11452374,1.3158478817398496
BM1,operational,operational_rb_off,off,B3,gcc,gcc_O3,-O3,A,A_to_B,A_to_B,B,completed,,200451110.5390076,1.3158478817398496
BM1,operational,operational_rb_off,off,B3,gcc,gcc_Os,-Os,A,A_to_B,A_to_B,B,completed,,181799599.42830876,1.3158478817398496
BM1,operational,operational_rb_off,off,B3,clang,clang_O2,-O2,A,A_to_B,A_to_B,B,completed,,4500380000000.0,1.3158478817398496
BM1,operational,operational_rb_off,off,B3,clang,clang_O3,-O3,A,A_to_B,A_to_B,B,completed,,4787638297872.341,1.3158478817398496
BM1,operational,operational_rb_off,off,B3,clang,clang_Os,-Os,A,A_to_B,A_to_B,B,completed,,199005058.72364512,1.3158478817398496
